"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Cebpe" 0 2.66080041245897 0.994 0.467 0
"Smc2" 0 2.65852435096884 0.994 0.632 0
"Spc24" 3.22612276192731e-122 2.64890544359924 0.096 0.006 2.31313002030188e-119
"Ifitm1" 0 2.64444292118043 0.174 0.003 0
"Erh" 4.40940095147754e-277 2.63311914999643 0.184 0.007 3.1615404822094e-274
"Clic4" 1.12719809975713e-186 2.57999531402444 0.116 0.004 8.08201037525865e-184
"Rangap1" 0 2.578881344727 0.772 0.252 0
"Spint1" 0 2.55545331698137 0.415 0.031 0
"Cdca8" 0 2.54764590941632 0.999 0.697 0
"Stfa2" 1.16098113105216e-256 2.5197009772693 0.179 0.008 8.32423470964395e-254
"Knstrn" 0 2.44959387830208 0.244 0.006 0
"3830403N18Rik" 0 2.44398078550959 0.936 0.11 0
"BC035044" 0 2.41628296459783 0.945 0.622 0
"Msr1" 0 2.41325970164998 0.96 0.734 0
"Emp1" 9.62446881028074e-139 2.36206612561751 0.111 0.007 6.90074413697129e-136
"Gm34084" 3.55050100658383e-78 2.34378938082051 0.152 0.034 2.54570922172061e-75
"Hnrnpab" 0 2.32524043021062 0.856 0.21 0
"Atp1b1" 7.54785654845884e-172 2.31459803292736 0.15 0.012 5.41181314524499e-169
"Serpine2" 0 2.28481180858368 0.853 0.457 0
"Kcnn4" 0 2.25209363134511 0.204 0.004 0
"Diaph3" 0 2.20070053278605 0.987 0.785 0
"Rrm2" 0 2.18917119435165 0.96 0.665 0
"Nek2" 4.18116677443105e-153 2.16107181623766 0.162 0.017 2.99789657726706e-150
"Socs2" 0 2.10438099307222 0.88 0.114 0
"Hmmr" 0 2.10405639267293 0.963 0.568 0
"Rnf128" 2.28551423107039e-62 2.08730143321204 0.067 0.007 1.63871370367747e-59
"Hist1h2an" 0 2.068089252573 0.998 0.779 0
"Ctsl" 4.81177860274992e-198 2.06627231814932 0.118 0.003 3.4500452581717e-195
"Tuba1b" 8.56602053082843e-170 2.06563046080514 0.138 0.009 6.14183672060398e-167
"Oasl1" 1.78333624827824e-14 2.01285577138988 0.154 0.091 1.2786520900155e-11
"Ncapg" 0 1.99743415784727 0.872 0.535 0
"Mmp13" 0 1.91249400218619 0.517 0.038 0
"H2-Eb1" 0 1.88841530522137 0.996 0.832 0
"Gm26917" 0 1.8691639693255 0.261 0.014 0
"Cd74" 3.26698814060046e-286 1.86442927375736 0.293 0.03 2.34243049681053e-283
"Olfm4" 0 1.85588026031726 0.658 0.101 0
"Cbr2" 2.018096276129e-26 1.8395932078475 0.049 0.011 1.44697502998449e-23
"Adam23" 0 1.83319650030495 0.996 0.949 0
"Pde5a" 0 1.82937109769457 0.992 0.828 0
"Lyz1" 5.50749900543936e-41 1.73542312461573 0.475 0.394 3.94887678690002e-38
"Il18bp" 0 1.731580720781 0.997 0.961 0
"Hist1h2ab" 0 1.66552761600313 0.994 0.928 0
"H2-Eb2" 0.00699639519349826 1.58702851733212 0.065 0.09 1
"2010005H15Rik" 0 1.58235634177409 0.995 0.965 0
"H2-Q7" 0 1.51970749087546 0.981 0.935 0
"Iqgap3" 2.6912727002014e-211 1.51950358609604 0.129 0.004 1.9296425260444e-208
"AW112010" 0 1.48046304681178 0.995 1 0
"Paip2b" 3.88669231608372e-07 1.4662503076299 0.969 1 0.000278675839063202
"Kif15" 0 1.45773557312134 0.973 0.842 0
"Tnf" 7.84172866563524e-259 1.41897581209765 0.914 0.883 5.62251945326047e-256
"Ifi47" 0 1.41840217219919 0.995 1 0
"Dmpk" 0 1.37562143028655 0.999 1 0
"Phf11a" 3.2135201627163e-250 1.3071574360016 0.903 0.861 2.30409395666759e-247
"Klrb1f" 0 1.26360210055231 0.997 0.981 0
"Mir155hg" 3.09177595458301e-142 1.25480297580419 0.096 0.004 2.21680335943602e-139
"Ifi205" 1.43192053985131e-39 1.23101813775315 0.103 0.029 1.02668702707339e-36
"Ly6i" 0 1.20268711965367 0.978 0.995 0
"Trim59" 0 1.19648731051475 0.99 1 0
"Pglyrp1" 2.41766125447632e-160 1.18616155094133 0.331 0.079 1.73346311945952e-157
"Dennd5b" 5.61720147217023e-239 1.16538994946835 0.946 1 4.02753345554605e-236
"Cdca2" 0 1.15998286900257 0.983 1 0
"Dbf4" 6.02613211955589e-14 1.1484669926139 0.16 0.285 4.32073672972158e-11
"Lockd" 0 1.08932529519297 0.993 0.97 0
"Apol9b" 0 1.06164721357071 0.998 0.986 0
"Fbxo5" 0 1.04564274288872 0.988 1 0
"Sox4" 0.000747188855062627 1.00918024884958 0.853 0.993 0.535734409079903
"Mad2l1" 0.0764085957995349 1.00772465031945 0.049 0.039 1
"H2-Ab1" 0 1.00569572279819 0.999 1 0
"G0s2" 0 -1.00000252742357 0.859 1 0
"Ms4a4c" 0 -1.00792069329893 0.891 1 0
"Nedd4" 0 -1.0086029636054 0.924 1 0
"Ifit3" 0 -1.0087238688795 0.899 1 0
"Id1" 0 -1.00887327151679 0.943 1 0
"Itga2b" 0 -1.01047803018866 0.906 1 0
"Fcgr4" 0 -1.01262852909882 0.961 1 0
"Mcpt8" 0 -1.01283149554321 0.785 1 0
"Tesc" 0 -1.01334087251184 0.914 1 0
"Syne1" 0 -1.0200574258889 0.845 1 0
"Cenpm" 0 -1.02325842678433 0.934 1 0
"Gm26870" 0 -1.0280884957666 0.766 1 0
"Klrk1" 0 -1.03299878658989 0.913 1 0
"E2f8" 0 -1.03569127743679 0.921 1 0
"Srgn" 0 -1.03577212417127 0.899 1 0
"Cryab" 0 -1.0406678976387 0.944 1 0
"Hist1h3d" 0 -1.04090258370879 0.914 1 0
"H2-Oa" 0 -1.05330202834334 0.878 1 0
"Atad2" 0 -1.06146936263626 0.932 1 0
"Hp" 0 -1.07045595347792 0.866 1 0
"Irf7" 0 -1.07075596771823 0.921 1 0
"Mogat2" 0 -1.0766217153087 0.906 1 0
"Ccl6" 0 -1.07776308204905 0.891 1 0
"Flt3" 0 -1.08613797330513 0.962 1 0
"Itgax" 0 -1.08725416704073 0.946 1 0
"Hgsnat" 0 -1.08965958966875 0.854 1 0
"Tmem176b" 0 -1.08994836894526 0.955 1 0
"Phgdh" 0 -1.09242627635367 0.976 1 0
"Igf2bp3" 0 -1.09636373761656 0.883 1 0
"Cnn3" 0 -1.10238803386008 0.884 1 0
"Hpgd" 0 -1.10387474431303 0.657 0.998 0
